ID,Prob1
0, 0.51
1, 0.50
2, 0.49
3, 0.10
4, 0.31
5, 0.49
6, 0.48
7, 0.49
8, 0.32
9, 0.49
10, 0.50
11, 0.49
12, 0.48
13, 0.50
14, 0.49
15, 0.49
16, 0.49
17, 0.51
18, 0.46
19, 0.49
20, 0.50
21, 0.49
22, 0.48
23, 0.49
24, 0.49
25, 0.50
26, 0.50
27, 0.49
28, 0.48
29, 0.49
30, 0.49
31, 0.49
32, 0.50
33, 0.49
34, 0.50
35, 0.50
36, 0.49
37, 0.48
38, 0.50
39, 0.50
40, 0.49
41, 0.50
42, 0.48
43, 0.49
44, 0.49
45, 0.49
46, 0.50
47, 0.50
48, 0.51
49, 0.50
50, 0.49
51, 0.49
52, 0.51
53, 0.31
54, 0.32
55, 0.49
56, 0.47
57, 0.50
58, 0.49
59, 0.49
60, 0.48
61, 0.47
62, 0.50
63, 0.49
64, 0.49
65, 0.48
66, 0.50
67, 0.50
68, 0.48
69, 0.51
70, 0.33
71, 0.49
72, 0.49
73, 0.49
74, 0.51
75, 0.50
76, 0.50
77, 0.50
78, 0.50
79, 0.48
80, 0.48
81, 0.50
82, 0.49
83, 0.49
84, 0.50
85, 0.50
86, 0.50
87, 0.50
88, 0.49
89, 0.48
90, 0.50
91, 0.49
92, 0.51
93, 0.51
94, 0.50
95, 0.49
96, 0.47
97, 0.49
98, 0.50
99, 0.19
100, 0.50
101, 0.51
102, 0.48
103, 0.50
104, 0.48
105, 0.49
106, 0.50
107, 0.51
108, 0.50
109, 0.49
110, 0.20
111, 0.50
112, 0.55
113, 0.48
114, 0.49
115, 0.32
116, 0.48
117, 0.49
118, 0.49
119, 0.49
120, 0.50
121, 0.50
122, 0.49
123, 0.50
124, 0.32
125, 0.50
126, 0.50
127, 0.51
128, 0.50
129, 0.51
130, 0.48
131, 0.48
132, 0.49
133, 0.51
134, 0.50
135, 0.51
136, 0.33
137, 0.53
138, 0.46
139, 0.50
140, 0.49
141, 0.48
142, 0.52
143, 0.48
144, 0.33
145, 0.49
146, 0.51
147, 0.50
148, 0.49
149, 0.48
150, 0.50
151, 0.50
152, 0.49
153, 0.50
154, 0.49
155, 0.49
156, 0.49
157, 0.49
158, 0.49
159, 0.50
160, 0.51
161, 0.48
162, 0.49
163, 0.49
164, 0.52
165, 0.49
166, 0.49
167, 0.51
168, 0.33
169, 0.49
170, 0.50
171, 0.50
172, 0.49
173, 0.50
174, 0.49
175, 0.48
176, 0.50
177, 0.49
178, 0.49
179, 0.49
180, 0.50
181, 0.32
182, 0.50
183, 0.49
184, 0.42
185, 0.48
186, 0.50
187, 0.33
188, 0.49
189, 0.48
190, 0.49
191, 0.50
192, 0.50
193, 0.50
194, 0.49
195, 0.49
196, 0.49
197, 0.48
198, 0.50
199, 0.50
200, 0.48
201, 0.49
202, 0.38
203, 0.50
204, 0.49
205, 0.47
206, 0.50
207, 0.32
208, 0.49
209, 0.49
210, 0.51
211, 0.49
212, 0.51
213, 0.48
214, 0.50
215, 0.48
216, 0.51
217, 0.50
218, 0.50
219, 0.51
220, 0.49
221, 0.48
222, 0.52
223, 0.50
224, 0.50
225, 0.49
226, 0.68
227, 0.50
228, 0.50
229, 0.20
230, 0.51
231, 0.51
232, 0.49
233, 0.32
234, 0.49
235, 0.49
236, 0.48
237, 0.46
238, 0.49
239, 0.48
240, 0.33
241, 0.47
242, 0.33
243, 0.50
244, 0.48
245, 0.50
246, 0.50
247, 0.50
248, 0.50
249, 0.50
250, 0.50
251, 0.51
252, 0.48
253, 0.47
254, 0.49
255, 0.51
256, 0.52
257, 0.49
258, 0.50
259, 0.52
260, 0.49
261, 0.48
262, 0.32
263, 0.48
264, 0.33
265, 0.18
266, 0.49
267, 0.48
268, 0.50
269, 0.49
270, 0.49
271, 0.50
272, 0.49
273, 0.50
274, 0.49
275, 0.50
276, 0.49
277, 0.50
278, 0.66
279, 0.49
280, 0.49
281, 0.50
282, 0.49
283, 0.49
284, 0.50
285, 0.50
286, 0.48
287, 0.48
288, 0.48
289, 0.49
290, 0.51
291, 0.49
292, 0.49
293, 0.32
294, 0.50
295, 0.51
296, 0.49
297, 0.49
298, 0.51
299, 0.50
300, 0.49
301, 0.32
302, 0.49
303, 0.50
304, 0.47
305, 0.32
306, 0.48
307, 0.49
308, 0.48
309, 0.48
310, 0.49
311, 0.49
312, 0.49
313, 0.50
314, 0.51
315, 0.50
316, 0.49
317, 0.46
318, 0.50
319, 0.50
320, 0.48
321, 0.49
322, 0.48
323, 0.49
324, 0.47
325, 0.48
326, 0.49
327, 0.50
328, 0.32
329, 0.25
330, 0.51
331, 0.49
332, 0.50
333, 0.48
334, 0.50
335, 0.49
336, 0.49
337, 0.49
338, 0.49
339, 0.49
340, 0.50
341, 0.49
342, 0.50
343, 0.50
344, 0.11
345, 0.49
346, 0.49
347, 0.49
348, 0.48
349, 0.31
350, 0.49
351, 0.49
352, 0.48
353, 0.49
354, 0.48
355, 0.49
356, 0.49
357, 0.55
358, 0.49
359, 0.47
360, 0.49
361, 0.49
362, 0.49
363, 0.32
364, 0.48
365, 0.57
366, 0.46
367, 0.49
368, 0.50
369, 0.50
370, 0.80
371, 0.49
372, 0.80
373, 0.49
374, 0.50
375, 0.50
376, 0.51
377, 0.49
378, 0.49
379, 0.49
380, 0.51
381, 0.49
382, 0.49
383, 0.50
384, 0.50
385, 0.32
386, 0.48
387, 0.49
388, 0.49
389, 0.50
390, 0.50
391, 0.49
392, 0.49
393, 0.18
394, 0.50
395, 0.49
396, 0.49
397, 0.30
398, 0.49
399, 0.49
400, 0.49
401, 0.50
402, 0.50
403, 0.47
404, 0.49
405, 0.48
406, 0.32
407, 0.49
408, 0.33
409, 0.50
410, 0.48
411, 0.50
412, 0.50
413, 0.49
414, 0.49
415, 0.49
416, 0.48
417, 0.50
418, 0.48
419, 0.49
420, 0.50
421, 0.51
422, 0.49
423, 0.50
424, 0.49
425, 0.49
426, 0.49
427, 0.50
428, 0.49
429, 0.52
430, 0.49
431, 0.51
432, 0.48
433, 0.66
434, 0.49
435, 0.48
436, 0.49
437, 0.50
438, 0.51
439, 0.49
440, 0.49
441, 0.49
442, 0.50
443, 0.66
444, 0.49
445, 0.49
446, 0.49
447, 0.48
448, 0.31
449, 0.49
450, 0.92
451, 0.48
452, 0.49
